"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","AcceptPause","AcceptStop","Caption","CheckPoint","CreationClassName","DelayedAutoStart","Description","DesktopInteract","DisplayName","ErrorControl","ExitCode","InstallDate","Name","PathName","ProcessId","ServiceSpecificExitCode","ServiceType","Started","StartMode","StartName","State","Status","SystemCreationClassName","SystemName","TagId","WaitHint"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""AppXSvc""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""AppXSvc""","False","True","AppX Deployment Service (AppXSVC)","0","Win32_Service","False","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","False","AppX Deployment Service (AppXSVC)","Normal","0",,"AppXSvc","C:\Windows\system32\svchost.exe -k wsappx -p","3528","0","Share Process","True","Manual","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""AudioEndpointBuilder""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""AudioEndpointBuilder""","False","True","Windows Audio Endpoint Builder","0","Win32_Service","False","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","Windows Audio Endpoint Builder","Normal","0",,"AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","1544","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Audiosrv""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""Audiosrv""","False","True","Windows Audio","0","Win32_Service","False","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","False","Windows Audio","Normal","0",,"Audiosrv","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","1652","0","Own Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""BFE""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""BFE""","False","True","Base Filtering Engine","0","Win32_Service","False","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.","False","Base Filtering Engine","Normal","0",,"BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","2032","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""BrokerInfrastructure""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""BrokerInfrastructure""","False","False","Background Tasks Infrastructure Service","0","Win32_Service","False","Windows infrastructure service that controls which background tasks can run on the system.","False","Background Tasks Infrastructure Service","Normal","0",,"BrokerInfrastructure","C:\Windows\system32\svchost.exe -k DcomLaunch -p","756","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CDPSvc""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""CDPSvc""","False","True","Connected Devices Platform Service","0","Win32_Service","True","This service is used for Connected Devices Platform scenarios","False","Connected Devices Platform Service","Normal","0",,"CDPSvc","C:\Windows\system32\svchost.exe -k LocalService -p","3536","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CoreMessagingRegistrar""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""CoreMessagingRegistrar""","False","False","CoreMessaging","0","Win32_Service","False","Manages communication between system components.","False","CoreMessaging","Normal","0",,"CoreMessagingRegistrar","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","340","0","Share Process","True","Auto","NT AUTHORITY\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""CryptSvc""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""CryptSvc""","False","True","Cryptographic Services","0","Win32_Service","False","Provides three management services: Catalog Database Service, which confirms the signatures of Windows files and allows new programs to be installed; Protected Root Service, which adds and removes Trusted Root Certification Authority certificates from this computer; and Automatic Root Certificate Update Service, which retrieves root certificates from Windows Update and enable scenarios such as SSL. If this service is stopped, these management services will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","False","Cryptographic Services","Normal","0",,"CryptSvc","C:\Windows\system32\svchost.exe -k NetworkService -p","2228","0","Share Process","True","Auto","NT Authority\NetworkService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""DcomLaunch""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""DcomLaunch""","False","False","DCOM Server Process Launcher","0","Win32_Service","False","The DCOMLAUNCH service launches COM and DCOM servers in response to object activation requests. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the DCOMLAUNCH service running.","False","DCOM Server Process Launcher","Normal","0",,"DcomLaunch","C:\Windows\system32\svchost.exe -k DcomLaunch -p","756","0","Share Process","True","Auto","LocalSystem","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
"DESKTOP-PHS6MQO","2","Win32_Service","Win32_BaseService","CIM_ManagedSystemElement","Win32_Service.Name=""Dhcp""","26","System.String[]","DESKTOP-PHS6MQO","root\cimv2","\\DESKTOP-PHS6MQO\root\cimv2:Win32_Service.Name=""Dhcp""","False","True","DHCP Client","0","Win32_Service","False","Registers and updates IP addresses and DNS records for this computer. If this service is stopped, this computer will not receive dynamic IP addresses and DNS updates. If this service is disabled, any services that explicitly depend on it will fail to start.","False","DHCP Client","Normal","0",,"Dhcp","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","1344","0","Share Process","True","Auto","NT Authority\LocalService","Running","OK","Win32_ComputerSystem","DESKTOP-PHS6MQO","0","0"
